datetime,value
2018-04-21 15:44:37.668,offline
2018-04-21 15:44:57.668,offline
2018-04-21 15:45:17.667,offline
2018-04-21 15:45:37.668,offline
2018-04-21 15:45:57.668,offline
2018-04-21 15:46:17.668,offline
2018-04-21 15:46:37.667,offline
2018-04-21 15:46:57.668,offline
2018-04-21 15:47:17.667,offline
2018-04-21 15:47:37.667,offline
2018-04-21 15:47:57.667,offline
2018-04-21 15:48:17.668,offline
2018-04-21 15:48:37.667,offline
2018-04-21 15:48:57.667,offline
2018-04-21 15:49:17.667,offline
2018-04-21 15:49:37.660,offline
2018-04-21 15:49:57.668,offline
2018-04-21 15:50:17.668,offline
2018-04-21 15:50:37.667,offline
2018-04-21 15:50:57.668,offline
2018-04-21 15:51:17.669,offline
2018-04-21 15:51:37.668,offline
2018-04-21 15:51:57.667,offline
2018-04-21 15:52:17.669,offline
2018-04-21 15:52:37.650,offline
2018-04-21 15:52:57.668,offline
2018-04-21 15:53:17.668,offline
2018-04-21 15:53:37.668,offline
2018-04-21 15:53:57.668,offline
2018-04-21 15:54:17.668,offline
2018-04-21 15:54:37.667,offline
2018-04-21 15:54:57.668,offline
2018-04-21 15:55:17.667,offline
2018-04-21 15:55:37.667,offline
2018-04-21 15:55:57.667,offline
2018-04-21 15:56:17.667,offline
2018-04-21 15:56:37.668,offline
2018-04-21 15:56:57.667,offline
2018-04-21 15:57:17.667,offline
2018-04-21 15:57:37.668,offline
2018-04-21 15:57:57.667,offline
2018-04-21 15:58:17.662,offline
2018-04-21 15:58:37.667,offline
2018-04-21 15:58:57.668,offline
2018-04-21 15:59:17.667,offline
2018-04-21 15:59:37.667,offline
2018-04-21 15:59:57.667,offline
2018-04-21 16:00:17.662,offline
2018-04-21 16:00:37.668,offline
2018-04-21 16:00:57.667,offline
2018-04-21 16:01:17.667,offline
2018-04-21 16:01:37.667,offline
2018-04-21 16:01:57.667,offline
2018-04-21 16:02:17.662,offline
2018-04-21 16:02:37.667,offline
2018-04-21 16:02:57.667,offline
2018-04-21 16:03:17.667,offline
2018-04-21 16:03:37.668,offline
2018-04-21 16:03:57.668,offline
2018-04-21 16:04:17.669,offline
2018-04-21 16:04:37.660,offline
2018-04-21 16:04:57.668,offline
2018-04-21 16:05:17.668,offline
2018-04-21 16:05:37.668,offline
2018-04-21 16:05:57.668,offline
2018-04-21 16:06:17.668,offline
2018-04-21 16:06:37.668,offline
2018-04-21 16:06:57.668,offline
2018-04-21 16:07:17.668,offline
2018-04-21 16:07:37.668,offline
2018-04-21 16:07:57.668,offline
2018-04-21 16:08:17.668,offline
2018-04-21 16:08:37.660,offline
2018-04-21 16:08:57.668,offline
2018-04-21 16:09:17.667,offline
2018-04-21 16:09:37.668,offline
2018-04-21 16:09:57.660,offline
2018-04-21 16:10:17.668,offline
2018-04-21 16:10:37.668,offline
2018-04-21 16:10:57.668,offline
2018-04-21 16:11:17.667,offline
2018-04-21 16:11:37.668,offline
2018-04-21 16:11:57.668,offline
2018-04-21 16:12:17.668,offline
2018-04-21 16:12:37.640,offline
2018-04-21 16:12:57.660,offline
2018-04-21 16:13:17.668,offline
2018-04-21 16:13:37.668,offline
2018-04-21 16:13:57.667,offline
2018-04-21 16:14:17.667,offline
2018-04-21 16:14:37.668,offline
2018-04-21 16:14:57.668,offline
2018-04-21 16:15:17.668,offline
2018-04-21 16:15:37.668,offline
2018-04-21 16:15:57.668,offline
2018-04-21 16:16:17.667,offline
2018-04-21 16:16:27.673,online
2018-04-21 16:16:37.755,online
2018-04-21 16:16:47.670,online
2018-04-21 16:16:57.727,online
2018-04-21 16:17:07.769,online
2018-04-21 16:17:17.703,online
2018-04-21 16:17:27.725,online
2018-04-21 16:17:37.685,online
2018-04-21 16:17:47.778,online
2018-04-21 16:17:57.671,online
2018-04-21 16:18:07.747,online
2018-04-21 16:18:17.819,online
2018-04-21 16:18:28.272,online
2018-04-21 16:18:37.747,online
2018-04-21 16:18:47.784,online
2018-04-21 16:18:57.824,online
2018-04-21 16:19:07.758,online
2018-04-21 16:19:17.822,online
2018-04-21 16:19:27.829,online
2018-04-21 16:19:37.763,online
2018-04-21 16:19:47.797,online
2018-04-21 16:19:57.745,online
2018-04-21 16:20:07.783,online
2018-04-21 16:20:17.816,online
2018-04-21 16:20:27.753,online
2018-04-21 16:20:37.783,online
2018-04-21 16:20:47.844,online
2018-04-21 16:20:57.719,online
2018-04-21 16:21:07.802,online
2018-04-21 16:21:17.699,online
2018-04-21 16:21:27.781,online
2018-04-21 16:21:37.823,online
2018-04-21 16:21:47.753,online
2018-04-21 16:21:57.774,online
2018-04-21 16:22:17.667,offline
2018-04-21 16:22:27.792,online
2018-04-21 16:22:37.827,online
2018-04-21 16:22:57.660,offline
2018-04-21 16:23:17.668,offline
2018-04-21 16:23:37.669,offline
2018-04-21 16:23:57.620,offline
2018-04-21 16:24:17.667,offline
2018-04-21 16:24:37.668,offline
2018-04-21 16:24:57.668,offline
2018-04-21 16:25:17.668,offline
2018-04-21 16:25:37.630,offline
2018-04-21 16:25:57.630,offline
2018-04-21 16:26:17.668,offline
2018-04-21 16:26:37.669,offline
2018-04-21 16:26:57.668,offline
2018-04-21 16:27:17.668,offline
2018-04-21 16:27:37.668,offline
2018-04-21 16:27:57.667,offline
2018-04-21 16:28:17.669,offline
2018-04-21 16:28:37.667,offline
2018-04-21 16:28:57.668,offline
2018-04-21 16:29:17.669,offline
2018-04-21 16:29:37.668,offline
2018-04-21 16:29:57.668,offline
2018-04-21 16:30:17.667,offline
2018-04-21 16:30:37.634,offline
2018-04-21 16:30:57.668,offline
2018-04-21 16:31:17.668,offline
2018-04-21 16:31:37.660,offline
2018-04-21 16:31:57.667,offline
2018-04-21 16:32:17.668,offline
2018-04-21 16:32:37.667,offline
2018-04-21 16:32:57.667,offline
2018-04-21 16:33:17.667,offline
2018-04-21 16:33:37.667,offline
2018-04-21 16:33:57.669,offline
2018-04-21 16:34:17.668,offline
2018-04-21 16:34:37.668,offline
2018-04-21 16:34:57.668,offline
2018-04-21 16:35:17.668,offline
2018-04-21 16:35:37.667,offline
2018-04-21 16:35:57.667,offline
2018-04-21 16:36:17.667,offline
2018-04-21 16:36:37.669,offline
2018-04-21 16:36:57.668,offline
2018-04-21 16:37:17.669,offline
2018-04-21 16:37:37.668,offline
2018-04-21 16:37:57.667,offline
2018-04-21 16:38:17.669,offline
2018-04-21 16:38:37.667,offline
2018-04-21 16:38:57.669,offline
2018-04-21 16:39:17.667,offline
2018-04-21 16:39:37.669,offline
2018-04-21 16:39:57.667,offline
2018-04-21 16:40:17.669,offline
2018-04-21 16:40:37.640,offline
2018-04-21 16:40:57.668,offline
2018-04-21 16:41:17.667,offline
2018-04-21 16:41:37.668,offline
2018-04-21 16:41:57.667,offline
2018-04-21 16:42:17.668,offline
2018-04-21 16:42:37.668,offline
2018-04-21 16:42:57.667,offline
2018-04-21 16:43:17.669,offline
2018-04-21 16:43:37.620,offline
2018-04-21 16:43:57.668,offline
2018-04-21 16:44:17.630,offline
2018-04-21 16:44:37.668,offline
2018-04-21 16:44:57.650,offline
2018-04-21 16:45:17.668,offline
2018-04-21 16:45:37.668,offline
2018-04-21 16:45:57.668,offline
2018-04-21 16:46:17.668,offline
2018-04-21 16:46:37.668,offline
2018-04-21 16:46:57.668,offline
2018-04-21 16:47:17.667,offline
2018-04-21 16:47:37.667,offline
2018-04-21 16:47:57.667,offline
2018-04-21 16:48:17.668,offline
2018-04-21 16:48:37.667,offline
2018-04-21 16:48:57.660,offline
2018-04-21 16:49:17.667,offline
2018-04-21 16:49:37.668,offline
2018-04-21 16:49:57.620,offline
2018-04-21 16:50:17.630,offline
2018-04-21 16:50:37.668,offline
2018-04-21 16:50:47.729,online
2018-04-21 16:50:57.685,online
2018-04-21 16:51:07.723,online
2018-04-21 16:51:17.755,online
2018-04-21 16:51:27.671,online
2018-04-21 16:51:37.670,online
2018-04-21 16:51:47.757,online
2018-04-21 16:51:57.664,online
2018-04-21 16:52:07.725,online
2018-04-21 16:52:17.670,online
2018-04-21 16:52:27.691,online
2018-04-21 16:52:37.678,online
2018-04-21 16:52:47.670,online
2018-04-21 16:52:57.670,online
2018-04-21 16:53:17.660,offline
2018-04-21 16:53:27.675,online
2018-04-21 16:53:37.671,online
2018-04-21 16:53:47.670,online
2018-04-21 16:53:57.681,online
2018-04-21 16:54:07.672,online
2018-04-21 16:54:17.700,online
2018-04-21 16:54:27.681,online
2018-04-21 16:54:37.682,online
2018-04-21 16:54:47.672,online
2018-04-21 16:54:57.670,online
2018-04-21 16:55:07.623,online
2018-04-21 16:55:17.626,online
2018-04-21 16:55:27.678,online
2018-04-21 16:55:37.622,online
2018-04-21 16:55:47.670,online
2018-04-21 16:55:57.634,online
2018-04-21 16:56:07.673,online
2018-04-21 16:56:27.668,offline
2018-04-21 16:56:37.627,online
2018-04-21 16:56:47.670,online
2018-04-21 16:56:57.687,online
2018-04-21 16:57:07.670,online
2018-04-21 16:57:17.670,online
2018-04-21 16:57:27.632,online
2018-04-21 16:57:37.670,online
2018-04-21 16:57:47.683,online
2018-04-21 16:57:57.670,online
2018-04-21 16:58:07.670,online
2018-04-21 16:58:17.672,online
2018-04-21 16:58:27.688,online
2018-04-21 16:58:37.672,online
2018-04-21 16:58:47.671,online
2018-04-21 16:58:57.670,online
2018-04-21 16:59:07.671,online
2018-04-21 16:59:17.674,online
2018-04-21 16:59:37.669,offline
2018-04-21 16:59:47.639,online
2018-04-21 16:59:57.633,online
